stage,epoch,train_loss,val_loss,val_auroc
1,1,1.3135427790028709,1.2889570907262982,0.6818918152301982
1,2,1.2976504513195584,1.2848918552704673,0.7024404271251196
1,3,1.2925045652048928,1.2813768459088875,0.7066152603964534
1,4,1.2899211032049998,1.2794895220992824,0.7069149475053091
1,5,1.2884180375507899,1.2793506830133856,0.7089704945600801
2,1,1.288690505708967,1.2785558105577548,0.7107758485955665
2,2,1.2855774308953967,1.2766013134822063,0.7117922268632422
2,3,1.284397134610585,1.27596252636051,0.7155227084305159
2,4,1.2838065070765359,1.2750761632188332,0.7165843157570542
2,5,1.2838845023087093,1.2743938840434301,0.7172892974044982
2,6,1.282974477325167,1.27407360310648,0.7188440276150762
2,7,1.28220921925136,1.2733985521364126,0.7204619181253448
2,8,1.2797204043184007,1.273462888178766,0.721104592227794
2,9,1.279593002796173,1.2732835342964812,0.7243368487344951
2,10,1.2817014259951456,1.2732756562836456,0.7226189036433927
2,11,1.2805305540561676,1.2730973232238687,0.7230318518265707
2,12,1.2792633627142225,1.2724345724850414,0.72164924888
2,13,1.2822221551622663,1.2722616106431115,0.7233136704173766
2,14,1.2795043638774326,1.2726536211482982,0.7238699516042724
