class,threshold
Atelectasis,0.6541218161582947
Cardiomegaly,0.6498008370399475
Consolidation,0.7285552024841309
Edema,0.6982265710830688
Effusion,0.628065288066864
Emphysema,0.6413100361824036
Fibrosis,0.6218854188919067
Hernia,0.502504289150238
Infiltration,0.5624168515205383
Mass,0.6679062247276306
Nodule,0.6910805702209473
Pleural_Thickening,0.6535692811012268
Pneumonia,0.5712285041809082
Pneumothorax,0.7172099947929382
