model,split,threshold_strategy,class,precision,recall,f1,support
densenet121_imagenet,heldout,f1opt             ,Nodule            ,0.1417,0.23,0.1754,313
densenet121_imagenet,heldout,f1opt             ,Pleural_Thickening,0.0977,0.1705,0.1242,176
densenet121_imagenet,heldout,f1opt             ,Pneumonia         ,0.036,0.0645,0.0462,62
densenet121_imagenet,heldout,f1opt             ,Pneumothorax      ,0.1835,0.2952,0.2263,271
densenet121_imagenet,heldout,f1opt             ,<micro avg>       ,0.2039,0.3653,0.2617,3934
densenet121_imagenet,heldout,f1opt             ,<macro avg>       ,0.1339,0.235,0.1689,3934
densenet121_imagenet,heldout,f1opt             ,<weighted avg>    ,0.2025,0.3653,0.2593,3934
densenet121_chexpert,train  ,youden            ,Atelectasis       ,0.1567,0.7101,0.2567,2032
densenet121_chexpert,train  ,youden            ,Cardiomegaly      ,0.0483,0.8812,0.0917,564
densenet121_chexpert,train  ,youden            ,Consolidation     ,0.0884,0.7765,0.1587,904
densenet121_chexpert,train  ,youden            ,Edema             ,0.0519,0.822,0.0976,472
densenet121_chexpert,train  ,youden            ,Effusion          ,0.2635,0.722,0.3861,2576
densenet121_chexpert,train  ,youden            ,Emphysema         ,0.0477,0.7598,0.0897,508
densenet121_chexpert,train  ,youden            ,Fibrosis          ,0.0315,0.619,0.06,336
densenet121_chexpert,train  ,youden            ,Hernia            ,0.0069,0.9808,0.0137,52
densenet121_chexpert,train  ,youden            ,Infiltration      ,0.273,0.5577,0.3666,3868
densenet121_chexpert,train  ,youden            ,Mass              ,0.0897,0.6822,0.1586,1136
densenet121_chexpert,train  ,youden            ,Nodule            ,0.091,0.5375,0.1556,1252
densenet121_chexpert,train  ,youden            ,Pleural_Thickening,0.0574,0.6151,0.1049,704
densenet121_chexpert,train  ,youden            ,Pneumonia         ,0.0198,0.6976,0.0385,248
densenet121_chexpert,train  ,youden            ,Pneumothorax      ,0.0972,0.7279,0.1715,1084
densenet121_chexpert,train  ,youden            ,<micro avg>       ,0.0937,0.6695,0.1644,15736
densenet121_chexpert,train  ,youden            ,<macro avg>       ,0.0945,0.7207,0.1536,15736
densenet121_chexpert,train  ,youden            ,<weighted avg>    ,0.1644,0.6695,0.247,15736
densenet121_chexpert,heldout,youden            ,Atelectasis       ,0.1582,0.7205,0.2595,508
densenet121_chexpert,heldout,youden            ,Cardiomegaly      ,0.0465,0.8511,0.0882,141
densenet121_chexpert,heldout,youden            ,Consolidation     ,0.0874,0.7655,0.1569,226
densenet121_chexpert,heldout,youden            ,Edema             ,0.0514,0.8136,0.0968,118
densenet121_chexpert,heldout,youden            ,Effusion          ,0.2632,0.7252,0.3863,644
densenet121_chexpert,heldout,youden            ,Emphysema         ,0.0474,0.7559,0.0891,127
densenet121_chexpert,heldout,youden            ,Fibrosis          ,0.0299,0.5833,0.0568,84
densenet121_chexpert,heldout,youden            ,Hernia            ,0.006,0.8462,0.0119,13
densenet121_chexpert,heldout,youden            ,Infiltration      ,0.2723,0.5502,0.3643,967
densenet121_chexpert,heldout,youden            ,Mass              ,0.0882,0.6761,0.156,284
densenet121_chexpert,heldout,youden            ,Nodule            ,0.0899,0.5304,0.1537,313
densenet121_chexpert,heldout,youden            ,Pleural_Thickening,0.0555,0.5966,0.1016,176
densenet121_chexpert,heldout,youden            ,Pneumonia         ,0.0178,0.629,0.0345,62
densenet121_chexpert,heldout,youden            ,Pneumothorax      ,0.0945,0.7122,0.1668,271
densenet121_chexpert,heldout,youden            ,<micro avg>       ,0.0926,0.6622,0.1625,3934
densenet121_chexpert,heldout,youden            ,<macro avg>       ,0.0934,0.6968,0.1516,3934
densenet121_chexpert,heldout,youden            ,<weighted avg>    ,0.1637,0.6622,0.2456,3934
densenet121_chexpert,train  ,f1opt             ,Atelectasis       ,0.2005,0.4636,0.2799,2032
densenet121_chexpert,train  ,f1opt             ,Cardiomegaly      ,0.1094,0.2571,0.1535,564
densenet121_chexpert,train  ,f1opt             ,Consolidation     ,0.1241,0.4735,0.1966,904
densenet121_chexpert,train  ,f1opt             ,Edema             ,0.1231,0.3432,0.1812,472
densenet121_chexpert,train  ,f1opt             ,Effusion          ,0.2813,0.6673,0.3958,2576
densenet121_chexpert,train  ,f1opt             ,Emphysema         ,0.0876,0.252,0.1299,508
densenet121_chexpert,train  ,f1opt             ,Fibrosis          ,0.0515,0.2649,0.0863,336
densenet121_chexpert,train  ,f1opt             ,Hernia            ,0.042,0.0962,0.0585,52
densenet121_chexpert,train  ,f1opt             ,Infiltration      ,0.2744,0.5561,0.3675,3868
