stage,epoch,train_loss,val_loss,val_auroc
1,1,1.3397603494780403,1.3335640130833508,0.6538430828781471
1,2,1.3145024648734502,1.3091066920608547,0.6879360695061729
1,3,1.3003570701394762,1.304506211569815,0.6781621937367016
1,4,1.2916357840810504,1.303567345342109,0.6818794588078797
1,5,1.2906712199960435,1.2991658370550092,0.6858361247843129
2,1,1.2902975346360888,1.2956104476184132,0.691799836593301
2,2,1.278701616185052,1.2956642664690068,0.6962999936720271
2,3,1.277934103352683,1.2921418739937631,0.6978580862777118
2,4,1.27111993261746,1.2892588740364115,0.7045490239063453
2,5,1.2699404903820584,1.2879352605704106,0.7082774337078469
2,6,1.2643983798367637,1.285530041883336,0.7107253547571734
2,7,1.2640386828354426,1.2854871233516836,0.7120320699029132
2,8,1.2602190792560577,1.2846581521518727,0.7115149269656171
2,9,1.2560891602720534,1.285940203224699,0.7152183889052148
2,10,1.258862773861204,1.2858936610281362,0.715871084565345
2,11,1.2574312014239175,1.2843405888042347,0.7166011770356493
2,12,1.2536137555326734,1.2828416783966907,0.7185997734484849
2,13,1.2536970794200897,1.28411448023111,0.7177971478925389
2,14,1.2534699525151933,1.2842515358525377,0.717978373537293
2,15,1.254245378289904,1.2837838605975935,0.7171528907726522
