class,threshold
Atelectasis,0.6521306037902832
Cardiomegaly,0.6731916666030884
Consolidation,0.7325918078422546
Edema,0.7588682174682617
Effusion,0.6746938228607178
Emphysema,0.6200466156005859
Fibrosis,0.5868780016899109
Hernia,0.47431156039237976
Infiltration,0.5719459056854248
Mass,0.6762992739677429
Nodule,0.6854233145713806
Pleural_Thickening,0.6856338381767273
Pneumonia,0.5974904298782349
Pneumothorax,0.7329742908477783
