model,fold,auroc,minutes,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
densenet121_chexpert,0,0.7338353945655997,7.8,0.7414311241065628,0.7857142857142857,0.739372878616454,0.9032231404958676,0.7785839995227299,0.7403828623518687,0.6613924050632911,0.8045874292523086,0.6641404856633284,0.731672377126654,0.5985226799833541,0.6364078166564355,0.7009759759759759,0.7872880633892818
densenet121_chexpert,1,0.7243368487344951,6.9,0.708077845907758,0.8115689865689866,0.8286185907355823,0.8151192288178589,0.768171732563424,0.7484047402005468,0.7143997870641469,0.6890080428954424,0.6691834199231986,0.6431101227246521,0.6749277668762842,0.6859245630174793,0.6602102102102102,0.7239908447773616
densenet121_chexpert,2,0.7190673847669252,7.0,0.6881056935190792,0.733285893395683,0.7576672862453532,0.7866909753874203,0.8045533188288496,0.7256714948671072,0.7226814569889606,0.9539355992844364,0.6634496849602777,0.6975,0.6247941947679737,0.5913497995883435,0.5720936696546453,0.7451643192488263
densenet121_chexpert,3,0.7101878060327378,6.5,0.7302778190462043,0.7737333507443197,0.7171103414151411,0.781580092574277,0.8154527374385531,0.7036278081360048,0.666861857865318,0.7173071194518915,0.6658416792426944,0.6914944314030039,0.5894051272430013,0.6725121434798855,0.6367482832766873,0.7806764931413478
densenet121_chexpert,4,0.7264463230445536,6.9,0.726398793328942,0.7154408662635353,0.772452686718486,0.8132852443422773,0.786878391959799,0.7768289790247704,0.6253533144898938,0.960644007155635,0.6312349272349271,0.7077009345794394,0.6354356543930004,0.7050157079406347,0.6428249097472925,0.6707541054451167
densenet121_imagenet,0,0.7358631148337358,8.3,0.7646909519168291,0.769017094017094,0.7317561015031517,0.8621074380165289,0.7889497076721155,0.8497721057429353,0.6312726039783002,0.8665475126601132,0.6968527918781726,0.6726134215500945,0.6679151061173533,0.6648250460405156,0.5129129129129129,0.8228508136661838
densenet121_imagenet,1,0.7203834223093848,8.2,0.751325572439942,0.7463064713064713,0.7756525327555968,0.8146118721461186,0.7768332130349935,0.6979033728350046,0.6201224381155177,0.6723264819779565,0.6523774565168285,0.6725310929906928,0.6893125878771961,0.7338940728085163,0.6996246246246246,0.7825461229019282
densenet121_imagenet,2,0.7399117372343353,7.8,0.697200560266505,0.7438243366880145,0.7882730652247381,0.8392850065395744,0.8218770188088006,0.8040711573618338,0.7868380353047837,0.7620751341681574,0.6609556204912794,0.6960849056603774,0.6502683090432344,0.6958888527786805,0.6459592801056215,0.7661630388390952
densenet121_imagenet,3,0.7042544535326112,6.8,0.7496285841628286,0.6900300339514234,0.7057100445324097,0.7745381176563675,0.8201208300499081,0.7044626593806922,0.6678733031674209,0.6044086982424783,0.6518205515159831,0.6369557159750782,0.6448854879993569,0.7500560468302404,0.6525629465214677,0.806509329470904
densenet121_imagenet,4,0.7397797805686356,8.0,0.7270336321371634,0.7629377021515961,0.7653979384927341,0.8546232808846259,0.7881246231155778,0.7626308833994103,0.5743693669670951,0.8609123434704831,0.6665779625779626,0.7332149532710279,0.6124243528982865,0.7755660275159788,0.7190884476534296,0.7540154134255257
efficientnet_b0,0,0.7185997734484849,3.9,0.7360603476283302,0.686965811965812,0.7066227573945368,0.8790495867768595,0.7684494690371078,0.7641567912488606,0.595501808318264,0.7176050044682751,0.6900205789545891,0.6749172967863895,0.6416631987793036,0.6316758747697975,0.7761261261261261,0.7915821760245377
efficientnet_b0,1,0.7250198184664208,3.9,0.7622066214441581,0.7351037851037852,0.8094707520891364,0.8100794858785727,0.7701499719303874,0.7132543299908842,0.616289592760181,0.8051831992850759,0.686384684888186,0.6389094802734535,0.6590905579332829,0.7175712971481141,0.6541291291291291,0.7724545706755445
efficientnet_b0,2,0.7321200596526565,3.9,0.7067402331920047,0.7768798075293958,0.7359749915511997,0.7922000713408109,0.7996599119335269,0.7924694135845872,0.6835368780331716,0.813953488372093,0.6680268925212309,0.7177830188679246,0.6262729434721629,0.6682374607301484,0.7219790146619415,0.7459667093469909
efficientnet_b0,3,0.7096721539008282,3.9,0.7228587876987075,0.7364520762601202,0.7032360217714003,0.7540056177552716,0.7886975121017674,0.7208940497874924,0.6621772690976843,0.6660708966338993,0.6595911647688297,0.6983426584535007,0.6334811916216615,0.7126167642296675,0.6980647846292571,0.7789213598023346
efficientnet_b0,4,0.7158335046945403,3.9,0.7509331653158442,0.6796864013500211,0.7724949307198378,0.8180016646189212,0.7813145728643216,0.8164752126325777,0.5833822196149538,0.8761180679785331,0.6284241164241164,0.6717196261682243,0.6028727670433832,0.704961542628101,0.5873194945848376,0.7479652837798905
