model,vs,n_folds,mean_diff,sd_diff,ci95_low,ci95_high,t,p_value,significant_at_0.05
densenet121_chexpert,densenet121_imagenet,5,-0.00526,0.0115,-0.01954,0.00901,-1.0238,0.3638,False
efficientnet_b0,densenet121_imagenet,5,-0.00779,0.01303,-0.02397,0.0084,-1.33624,0.25242,False
