layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac
block3+4,gradcam++,both,320,0.3018867924528302,16,53,0.22057029995198082,0.1975943906843359,0.5025947872080275,0.1769948798866951,0.10174828655314895
block3+4,hirescam,none,224,0.5660377358490566,30,53,0.2131379272848018,0.23180215931150805,0.4531113381623798,0.22623874129023233,0.07834029647539247
block3+4,hirescam,none,320,0.5471698113207547,29,53,0.17029220618024105,0.21973183369369997,0.304629601767279,0.2772358272902964,0.04123522200674381
block3+4,hirescam,aug,224,0.5849056603773585,31,53,0.21959670776478873,0.23623314832478795,0.5309050536323652,0.22473205854009978,0.09615039825439453
block3+4,hirescam,aug,320,0.5471698113207547,29,53,0.1971950902971361,0.22603454766187342,0.3706495668450193,0.27740002521921064,0.05155988009470814
block3+4,hirescam,eigen,224,0.49056603773584906,26,53,0.2311570034760789,0.2421658557037737,0.47976932205829137,0.2712690765234285,0.09145409206174454
block3+4,hirescam,eigen,320,0.4528301886792453,24,53,0.19033995169587267,0.2235595909628692,0.3424617850262114,0.31020561834125554,0.055805998028449294
block3+4,hirescam,both,224,0.4716981132075472,25,53,0.23700025785081022,0.24272401251340187,0.512578109651378,0.2654662534175877,0.09416423653656582
block3+4,hirescam,both,320,0.49056603773584906,26,53,0.21538096726546838,0.23744972133213355,0.41121490091741647,0.279749876043086,0.09510258008848946
block3+4,layercam,none,224,0.5849056603773585,31,53,0.26019906297954565,0.2277638449927854,0.6916559536517065,0.19709271791370397,0.14428261091124336
block3+4,layercam,none,320,0.5660377358490566,30,53,0.23786890718593814,0.24134842901566814,0.5166632602626582,0.21224698163957573,0.0854285977921396
block3+4,layercam,aug,224,0.5660377358490566,30,53,0.2643635123173433,0.2273958502564507,0.6985159518771529,0.1967353741846041,0.14923477172851562
block3+4,layercam,aug,320,0.5660377358490566,30,53,0.24617252941084564,0.2383547729793584,0.5380783402376657,0.21034018186742948,0.08825104191618145
block3+4,layercam,eigen,224,0.5283018867924528,28,53,0.2389638732829358,0.2500801494683108,0.4900838459914221,0.2798633887865263,0.07741676186615566
block3+4,layercam,eigen,320,0.49056603773584906,26,53,0.2074794375339406,0.2424825092920031,0.34002478769405736,0.3336452572427346,0.06759020967303582
block3+4,layercam,both,224,0.5283018867924528,28,53,0.23909408299411555,0.2523762444013506,0.5104128383173996,0.2795385492799951,0.083747018058345
