stage,epoch,train_loss,val_loss,val_auroc
1,1,1.3728441499894666,1.3315892608407984,0.6157131847335585
1,2,1.34154357705065,1.3146115732702979,0.6570325395728291
1,3,1.326125208408602,1.3132429352418624,0.6663950508831371
1,4,1.30865224330656,1.2957439040117722,0.6678672998828229
1,5,1.3031625228543435,1.295672900536481,0.6700354090719489
2,1,1.2968625278883084,1.2862807850149227,0.6784081212407721
2,2,1.2863422145125687,1.2800203778527,0.6919253289528375
2,3,1.2797473098642083,1.2799562980784451,0.6995885726948161
2,4,1.268380529137068,1.2762417143041438,0.7086502212124872
2,5,1.265716891775849,1.2723068273003726,0.713327833258708
2,6,1.2593726387587927,1.269997508768092,0.7166681616457976
2,7,1.252297850065334,1.2666218841777128,0.7256108313570946
2,8,1.2453091170198174,1.2700706223115563,0.723274260073156
2,9,1.2438782171536518,1.2683617259091873,0.7160086539007837
2,10,1.2349589710594506,1.2653796704695186,0.725568394464951
2,11,1.2306497109833585,1.2633035616441206,0.7295899363142262
2,12,1.2247926112144225,1.2628153996034102,0.7328160600726681
2,13,1.2233151364070114,1.2601764482610367,0.7322595588413521
2,14,1.21709414387262,1.2566425494331728,0.7360743449972532
2,15,1.2128509424066032,1.260702663564427,0.7343611972745899
2,16,1.2168524457562355,1.2560485257184442,0.7378826441874083
2,17,1.2078775712238845,1.2589846339455262,0.7394914413575124
2,18,1.209687679044662,1.2576621299121469,0.7422300010933772
2,19,1.2022733989582266,1.2544638039594027,0.7424629751080225
2,20,1.2056621595095562,1.2537033251900087,0.7470946352666104
2,21,1.197550860784387,1.2538175678508168,0.7446210203349819
2,22,1.1977829125619703,1.2547623014705067,0.7443085516905581
2,23,1.195752990502183,1.2556404659454836,0.7444840011144501
2,24,1.197791773785827,1.25397347128965,0.7454472476524139
2,25,1.1934307480371127,1.2547066504942541,0.7459121460552857
2,26,1.1923241640931816,1.2530172731787126,0.7453776843152496
2,27,1.194358774410781,1.2552783240608991,0.7453819995252554
2,28,1.1928166593274763,1.256883755087215,0.7456278306835477
