image,condition,parse_ok,error,seconds,n_present,n_flagged,n_truth,n_unsupported_vs_clf,n_omit_vs_clf,n_unsupported_but_true,n_unsupported_and_false,unsupported_rate_vs_clf,omit_rate_vs_clf,n_false_vs_truth,precision_vs_truth,recall_vs_truth,normal_film_kept_clean,loc_agree,n_loc_checked
00001248_005.png,C,True,False,10.4,5,1,1,4,0,0,4,0.8,0.0,5,0.0,0.0,,,0
00013625_006.png,A,True,False,29.7,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00013625_006.png,B,True,False,12.7,5,0,0,5,0,0,5,1.0,,5,0.0,,False,,0
00013625_006.png,C,True,False,10.6,5,0,0,5,0,0,5,1.0,,5,0.0,,False,,0
00013111_065.png,A,True,False,35.4,3,2,1,1,0,0,1,0.3333,0.0,2,0.3333,1.0,,,0
00013111_065.png,B,True,False,11.7,3,2,1,1,0,0,1,0.3333,0.0,2,0.3333,1.0,,,0
00013111_065.png,C,True,False,10.0,3,2,1,1,0,0,1,0.3333,0.0,2,0.3333,1.0,,1.0,2
00011925_004.png,A,True,False,31.3,2,1,0,2,1,0,2,1.0,1.0,2,0.0,,False,,0
00011925_004.png,B,True,False,13.2,9,1,0,8,0,0,8,0.8889,0.0,9,0.0,,False,,0
00011925_004.png,C,True,False,14.5,9,1,0,8,0,0,8,0.8889,0.0,9,0.0,,False,1.0,1
00030262_001.png,A,True,False,29.7,0,1,0,0,1,0,0,0.0,1.0,0,,,True,,0
00030262_001.png,B,True,False,13.5,5,1,0,4,0,0,4,0.8,0.0,5,0.0,,False,,0
00030262_001.png,C,True,False,12.2,5,1,0,4,0,0,4,0.8,0.0,5,0.0,,False,0.0,1
00004858_070.png,A,True,False,34.5,0,0,0,0,0,0,0,0.0,,0,,,True,,0
00004858_070.png,B,True,False,9.1,3,0,0,3,0,0,3,1.0,,3,0.0,,False,,0
00004858_070.png,C,True,False,10.0,4,0,0,4,0,0,4,1.0,,4,0.0,,False,,0
00028774_031.png,A,True,False,35.0,3,4,3,2,3,0,2,0.6667,0.75,2,0.3333,0.3333,,,0
00028774_031.png,B,True,False,13.1,7,4,3,3,0,0,3,0.4286,0.0,4,0.4286,1.0,,,0
00028774_031.png,C,True,False,13.2,6,4,3,2,0,0,2,0.3333,0.0,3,0.5,1.0,,1.0,4
00026971_023.png,A,True,False,33.1,2,3,2,1,2,0,1,0.5,0.6667,1,0.5,0.5,,,0
00026971_023.png,B,True,False,11.7,7,3,2,4,0,0,4,0.5714,0.0,5,0.2857,1.0,,,0
00026971_023.png,C,True,False,11.5,6,3,2,3,0,0,3,0.5,0.0,4,0.3333,1.0,,1.0,3
00018387_006.png,A,True,False,34.9,3,4,0,2,3,0,2,0.6667,0.75,3,0.0,,False,,0
00018387_006.png,B,True,False,13.3,7,4,0,3,0,0,3,0.4286,0.0,7,0.0,,False,,0
00018387_006.png,C,True,False,10.3,5,4,0,1,0,0,1,0.2,0.0,5,0.0,,False,1.0,4
00014095_002.png,A,True,False,33.2,2,3,2,0,1,0,0,0.0,0.3333,0,1.0,1.0,,,0
