model,vs,n_folds,mean_diff,sd_diff,ci95_low,ci95_high,t,p_value,significant_at_0.05
ensemble_cnn_raddino,densenet121_imagenet,5,0.02845,0.00735,0.01932,0.03758,8.65437,0.00098,True
raddino_linear,densenet121_imagenet,5,-0.00183,0.00904,-0.01306,0.00939,-0.45372,0.67356,False
