class,threshold
Atelectasis,0.7409658432006836
Cardiomegaly,0.808653712272644
Consolidation,0.7484359741210938
Edema,0.8079873323440552
Effusion,0.7802873849868774
Emphysema,0.8267736434936523
Fibrosis,0.6247767210006714
Hernia,0.46561557054519653
Infiltration,0.6467680335044861
Mass,0.8278847336769104
Nodule,0.7759024500846863
Pleural_Thickening,0.7152200937271118
Pneumonia,0.5641566514968872
Pneumothorax,0.722948431968689
