stage,epoch,train_loss,val_loss,val_auroc
2,1,1.4308669567108154,1.1307822465896606,0.53578285277425
2,2,1.4017921686172485,1.1098196506500244,0.5678491028630808
2,3,1.3753868341445923,1.0910093784332275,0.5970039956512625
2,4,1.3515933752059937,1.074265718460083,0.6228500961750366
2,5,1.3302936553955078,1.0594552755355835,0.6458754104981351
2,6,1.3113222122192383,1.046419382095337,0.6651801134504948
2,7,1.2944812774658203,1.034986138343811,0.6817996223458386
2,8,1.279555082321167,1.0249823331832886,0.6960614641528224
2,9,1.2663241624832153,1.0162417888641357,0.7077699153548005
2,10,1.2545762062072754,1.0086100101470947,0.7175173953634825
2,11,1.2441141605377197,1.0019493103027344,0.7258702726498644
2,12,1.2347595691680908,0.996138334274292,0.7334660643241627
2,13,1.2263548374176025,0.9910718202590942,0.7392829056244142
2,14,1.2187633514404297,0.9866591095924377,0.7450310749646917
2,15,1.211868405342102,0.9828220009803772,0.7494538426141035
2,16,1.2055704593658447,0.9794929623603821,0.7534557668100081
2,17,1.19978666305542,0.9766135811805725,0.757001314573807
2,18,1.1944479942321777,0.974133312702179,0.7599020062692411
2,19,1.1894968748092651,0.9720082879066467,0.7624759525366337
2,20,1.1848859786987305,0.9701995849609375,0.764598810963839
2,21,1.1805766820907593,0.9686729311943054,0.7665326823768525
2,22,1.1765358448028564,0.9673973321914673,0.7677580302588796
2,23,1.1727372407913208,0.9663451910018921,0.7688571943056884
2,24,1.1691582202911377,0.9654914140701294,0.7695104093657908
2,25,1.165779709815979,0.9648128151893616,0.769935077729815
2,26,1.1625852584838867,0.9642874598503113,0.7702665665418155
2,27,1.1595605611801147,0.963894784450531,0.7707444178822939
2,28,1.1566927433013916,0.9636154174804688,0.771117089407143
2,29,1.1539701223373413,0.9634313583374023,0.7712084715063999
2,30,1.1513824462890625,0.963326096534729,0.7714011807229484
2,31,1.148919701576233,0.9632844924926758,0.7713970781561986
2,32,1.1465731859207153,0.9632923603057861,0.7713915295750675
2,33,1.1443345546722412,0.9633373618125916,0.7712676023618873
2,34,1.142196774482727,0.9634082317352295,0.7709304381058899
2,35,1.1401525735855103,0.9634954929351807,0.7707025253159632
2,36,1.1381962299346924,0.9635909199714661,0.7703102635312066
2,37,1.1363214254379272,0.96368807554245,0.7699840090753703
2,38,1.1345235109329224,0.9637816548347473,0.769617077475397
2,39,1.1327979564666748,0.9638676047325134,0.7694357516043231
2,40,1.1311402320861816,0.9639428853988647,0.7689704829452448
2,41,1.1295464038848877,0.9640054702758789,0.7687698287306676
2,42,1.128013014793396,0.9640539288520813,0.7682469850778605
2,43,1.1265367269515991,0.9640877842903137,0.7678700011225431
2,44,1.1251142024993896,0.9641069173812866,0.7673896177436418
2,45,1.1237428188323975,0.9641117453575134,0.7668378019863875
2,46,1.1224191188812256,0.9641030430793762,0.7662215388240629
2,47,1.1211410760879517,0.9640818238258362,0.7655902340478169
2,48,1.119905948638916,0.964049220085144,0.7648151395207502
2,49,1.1187114715576172,0.9640064835548401,0.7643524970850228
2,50,1.1175556182861328,0.9639549255371094,0.7639488699909911
2,51,1.1164360046386719,0.9638956785202026,0.7634034436960508
2,52,1.1153510808944702,0.963829755783081,0.7628923069764136
2,53,1.114298939704895,0.963758111000061,0.7625402635972679
2,54,1.1132783889770508,0.9636816382408142,0.7621846026473741
2,55,1.1122875213623047,0.9636009931564331,0.7616550292132619
2,56,1.1113251447677612,0.9635167717933655,0.7613209988475884
2,57,1.1103898286819458,0.9634296298027039,0.7610334061388885
2,58,1.1094805002212524,0.9633399844169617,0.7606956328687027
2,59,1.1085962057113647,0.963248610496521,0.7604094319851473
2,60,1.1077357530593872,0.96315598487854,0.7601909154923977
