layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac,model
block4,gradcam++,none,320,0.3962,21,53,0.2363,0.2373,0.5542,0.2312,0.1208,densenet121_full224
block4,gradcam++,both,320,0.3962,21,53,0.2323,0.2352,0.4978,0.2925,0.0932,densenet121_full224
block3+4,gradcam++,none,224,0.3962,21,53,0.2318,0.2141,0.6866,0.1909,0.1789,densenet121_full224
block4,layercam,eigen,320,0.3962,21,53,0.2313,0.2429,0.4736,0.3103,0.0841,densenet121_full224
block3+4,gradcam,both,224,0.3962,21,53,0.2153,0.1745,0.6148,0.1639,0.1682,densenet121_full224
block3+4,gradcam,both,320,0.3962,21,53,0.2073,0.1935,0.4806,0.1906,0.098,densenet121_full224
block3+4,gradcam++,eigen,320,0.3962,21,53,0.2023,0.1901,0.4872,0.1856,0.1073,densenet121_full224
block4,xgradcam,aug,320,0.3962,21,53,0.1998,0.1836,0.4889,0.1644,0.1194,densenet121_full224
block3,gradcam,none,224,0.3962,21,53,0.1783,0.1979,0.3052,0.2521,0.0546,densenet121_full224
block4,gradcam++,eigen,224,0.3774,20,53,0.2421,0.2283,0.6186,0.2509,0.1391,densenet121_full224
block4,gradcam++,none,224,0.3774,20,53,0.2408,0.1989,0.7801,0.1892,0.2144,densenet121_full224
block4,layercam,both,224,0.3774,20,53,0.2388,0.2315,0.595,0.2502,0.1383,densenet121_full224
block4,layercam,none,224,0.3774,20,53,0.2382,0.1973,0.786,0.1841,0.2205,densenet121_full224
block4,hirescam,eigen,224,0.3774,20,53,0.2381,0.2258,0.6026,0.2503,0.14,densenet121_full224
block4,hirescam,both,224,0.3774,20,53,0.2365,0.2261,0.6065,0.248,0.1439,densenet121_full224
block4,gradcam,aug,224,0.3774,20,53,0.2332,0.205,0.6644,0.2011,0.1761,densenet121_full224
block4,hirescam,none,224,0.3774,20,53,0.2296,0.2079,0.6596,0.2072,0.1854,densenet121_full224
block4,hirescam,both,320,0.3774,20,53,0.2213,0.2324,0.4922,0.288,0.1176,densenet121_full224
block3+4,gradcam++,eigen,224,0.3774,20,53,0.2162,0.1843,0.6003,0.1769,0.1617,densenet121_full224
block4,gradcam,none,320,0.3774,20,53,0.2142,0.2289,0.4488,0.2601,0.0873,densenet121_full224
block3+4,gradcam,eigen,224,0.3774,20,53,0.2089,0.181,0.6115,0.1772,0.1695,densenet121_full224
block4,xgradcam,both,320,0.3774,20,53,0.174,0.1656,0.4348,0.1472,0.1519,densenet121_full224
block4,gradcam++,aug,224,0.3585,19,53,0.2421,0.1991,0.779,0.189,0.2155,densenet121_full224
block4,layercam,aug,224,0.3585,19,53,0.24,0.1964,0.7915,0.184,0.2223,densenet121_full224
block4,gradcam,none,224,0.3585,19,53,0.2296,0.2043,0.6451,0.2007,0.1717,densenet121_full224
block4,xgradcam,aug,224,0.3585,19,53,0.219,0.1787,0.6497,0.1572,0.2151,densenet121_full224
block3+4,gradcam++,aug,320,0.3396,18,53,0.2312,0.2231,0.5736,0.2196,0.1195,densenet121_full224
block4,hirescam,aug,224,0.3019,16,53,0.2324,0.2084,0.6531,0.2074,0.1703,densenet121_full224
block3+4,gradcam++,both,320,0.3019,16,53,0.2206,0.1976,0.5026,0.177,0.1017,densenet121_full224
block4,xgradcam,none,224,0.3019,16,53,0.1679,0.1713,0.3988,0.1694,0.1415,densenet121_full224
block4,xgradcam,eigen,320,0.3019,16,53,0.1482,0.1547,0.3133,0.1893,0.0841,densenet121_full224
block4,xgradcam,none,320,0.3019,16,53,0.1384,0.1558,0.2716,0.1705,0.0906,densenet121_full224
block4,xgradcam,both,224,0.283,15,53,0.1928,0.1518,0.5835,0.1427,0.2251,densenet121_full224
block3+4,gradcam++,none,320,0.2453,13,53,0.2256,0.2307,0.5122,0.2247,0.1104,densenet121_full224
block4,xgradcam,eigen,224,0.2075,11,53,0.1165,0.1221,0.3007,0.1457,0.1204,densenet121_full224
block3,xgradcam,both,224,0.1509,8,53,0.0667,0.0749,0.183,0.0831,0.1157,densenet121_full224
block3,xgradcam,none,224,0.1321,7,53,0.074,0.0899,0.1353,0.108,0.0537,densenet121_full224
block3,xgradcam,eigen,224,0.1321,7,53,0.0638,0.0788,0.1249,0.0993,0.064,densenet121_full224
block3,xgradcam,aug,224,0.1132,6,53,0.0707,0.0842,0.215,0.0878,0.12,densenet121_full224
block3,xgradcam,both,320,0.1132,6,53,0.0648,0.0865,0.2003,0.0878,0.0988,densenet121_full224
block3,gradcam++,eigen,224,0.1132,6,53,0.0512,0.059,0.1074,0.0679,0.0402,densenet121_full224
block3,gradcam++,both,224,0.1132,6,53,0.041,0.0375,0.1111,0.0519,0.0677,densenet121_full224
block3,xgradcam,eigen,320,0.1132,6,53,0.0254,0.0373,0.0692,0.0712,0.0449,densenet121_full224
block3,gradcam,eigen,224,0.0943,5,53,0.048,0.0527,0.1279,0.0593,0.0479,densenet121_full224
block3,xgradcam,aug,320,0.0755,4,53,0.0414,0.0583,0.1064,0.071,0.0844,densenet121_full224
block3,gradcam++,none,224,0.0755,4,53,0.0215,0.0457,0.0312,0.1772,0.0123,densenet121_full224
block3,gradcam++,eigen,320,0.0566,3,53,0.0354,0.0392,0.0798,0.0559,0.0444,densenet121_full224
block3,gradcam,eigen,320,0.0566,3,53,0.0245,0.0225,0.072,0.0389,0.0259,densenet121_full224
block3,gradcam++,aug,224,0.0566,3,53,0.0196,0.0473,0.0245,0.1682,0.0087,densenet121_full224
block3,xgradcam,none,320,0.0377,2,53,0.0279,0.0442,0.0603,0.074,0.0348,densenet121_full224
block3,gradcam,both,320,0.0377,2,53,0.0234,0.0278,0.0801,0.0379,0.0361,densenet121_full224
block3,gradcam,both,224,0.0377,2,53,0.0176,0.023,0.0999,0.0332,0.0637,densenet121_full224
block3,gradcam++,both,320,0.0189,1,53,0.0236,0.029,0.0611,0.0489,0.0444,densenet121_full224
block3,gradcam++,none,320,0.0189,1,53,0.0032,0.0112,0.0036,0.0938,0.0043,densenet121_full224
block3,gradcam++,aug,320,0.0,0,53,0.0015,0.0066,0.0016,0.0996,0.0038,densenet121_full224
