model,fold,auroc_plain,auroc_tta,epochs
raddino_linear,0,0.7729513151734076,0.7714011807229484,60
raddino_linear,1,0.7507725369933196,0.7514781443820551,80
raddino_linear,2,0.7553591063468125,0.7547561019402372,55
raddino_linear,3,0.7243182817103626,0.7249485369198686,55
raddino_linear,4,0.7732300685412045,0.7738393383488005,61
